파일,기호,컬럼,엑셀값,엑셀셀,도면원문,도면정규화,도면좌표,판정
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,DS3S,서포트,사용,G5,사용,사용,"(14383.0, 7992.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,DS3S,TG,110,H5,M13135-110,110,"(12018.0, 7992.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,DS3S,상부피복,30,I5,30,30,"(12529.0, 8031.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,DS3S,하부피복,30,J5,30,30,"(12529.0, 7953.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,DS3S,단부재,MVS,F5,,,,N/A
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,DS3S,강판타입,A,K5,,,,N/A
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,TYPE,M13106,B6,M13106-210,M13106,"(12018.0, 7836.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,THK.,250,C6,250,250,"(11874.0, 7836.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,래티스,Ø6,D6,ø6,Ø6,"(12381.0, 7836.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,캠버,-,E6,-,-,"(14086.0, 7836.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,서포트,-,G6,-,-,"(14392.0, 7836.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,TG,210,H6,M13106-210,210,"(12018.0, 7836.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,상부피복,30,I6,30,30,"(12529.0, 7875.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,하부피복,30,J6,30,30,"(12529.0, 7797.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,단부재,MVS,F6,,,,N/A
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS1,강판타입,A,K6,,,,N/A
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,TYPE,M13106,B7,M13106-210,M13106,"(12018.0, 7680.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,THK.,250,C7,250,250,"(11874.0, 7680.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,래티스,Ø6,D7,ø6,Ø6,"(12381.0, 7680.0)",일치
